SERNO,END_INSTANCE,END_CLOCK,START_CLOCK,START_INSTANCE,CDC_TYPE,SYNCHRONIZER,NUMBER_OF_SYNCHRONIZER_FFs,SAFE_CDC,DESCRIPTION
1,master_AXI_0.M_MASK_VALID_OUT,master_AXI_32s_32s|M_MASK_N_OUT6_inferred_clock,axi_lite_tut|aclk,COREAXI4INTERCONNECT_C0_0.COREAXI4INTERCONNECT_C0_0.MstConvertor_loop\[0\]\.mstrconv.rgsl.genblk3\.rrs.sDat[35:4],Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
77,mask_axi532_0.slave_axi_data[0],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_4_inferred_clock,mask_axi532_0.S_MASK_ADDR[0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
78,mask_axi532_0.slave_axi_data[0],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_5_inferred_clock,mask_axi532_0.n_value[0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
79,mask_axi532_0.slave_axi_data[1],mask_axi532_32s_32s|N_2_inferred_clock,axi_lite_tut|aclk,mask_axi532_0.S_MASK_ADDR[1],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
80,mask_axi532_0.slave_axi_data[1],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_3_inferred_clock,mask_axi532_0.data_value[1],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
81,mask_axi532_0.slave_axi_data[1],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_4_inferred_clock,mask_axi532_0.S_MASK_ADDR[1],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
82,mask_axi532_0.slave_axi_data[1],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_5_inferred_clock,mask_axi532_0.n_value[1],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
83,mask_axi532_0.slave_axi_data[2],mask_axi532_32s_32s|N_2_inferred_clock,axi_lite_tut|aclk,mask_axi532_0.S_MASK_ADDR[2],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
84,mask_axi532_0.slave_axi_data[2],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_3_inferred_clock,mask_axi532_0.data_value[2],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
85,mask_axi532_0.slave_axi_data[2],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_4_inferred_clock,mask_axi532_0.S_MASK_ADDR[2],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
86,mask_axi532_0.slave_axi_data[2],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_5_inferred_clock,mask_axi532_0.n_value[2],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
87,mask_axi532_0.slave_axi_data[3],mask_axi532_32s_32s|N_2_inferred_clock,axi_lite_tut|aclk,mask_axi532_0.S_MASK_ADDR[3],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
88,mask_axi532_0.slave_axi_data[3],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_3_inferred_clock,mask_axi532_0.data_value[3],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
89,mask_axi532_0.slave_axi_data[3],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_4_inferred_clock,mask_axi532_0.S_MASK_ADDR[3],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
90,mask_axi532_0.slave_axi_data[3],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_5_inferred_clock,mask_axi532_0.n_value[3],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
91,mask_axi532_0.slave_axi_data[4],mask_axi532_32s_32s|N_2_inferred_clock,axi_lite_tut|aclk,mask_axi532_0.S_MASK_ADDR[4],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
92,mask_axi532_0.slave_axi_data[4],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_3_inferred_clock,mask_axi532_0.data_value[4],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
93,mask_axi532_0.slave_axi_data[4],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_4_inferred_clock,mask_axi532_0.S_MASK_ADDR[4],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
94,mask_axi532_0.slave_axi_data[4],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_5_inferred_clock,mask_axi532_0.n_value[4],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
95,mask_axi532_0.slave_axi_data[5],mask_axi532_32s_32s|N_2_inferred_clock,axi_lite_tut|aclk,mask_axi532_0.S_MASK_ADDR[5],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
96,mask_axi532_0.slave_axi_data[5],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_3_inferred_clock,mask_axi532_0.data_value[5],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
97,mask_axi532_0.slave_axi_data[5],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_4_inferred_clock,mask_axi532_0.S_MASK_ADDR[5],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
98,mask_axi532_0.slave_axi_data[6],mask_axi532_32s_32s|N_2_inferred_clock,axi_lite_tut|aclk,mask_axi532_0.S_MASK_ADDR[6],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
99,mask_axi532_0.slave_axi_data[6],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_3_inferred_clock,mask_axi532_0.data_value[6],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
100,mask_axi532_0.slave_axi_data[6],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_4_inferred_clock,mask_axi532_0.S_MASK_ADDR[6],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
101,mask_axi532_0.slave_axi_data[7],mask_axi532_32s_32s|N_2_inferred_clock,axi_lite_tut|aclk,mask_axi532_0.S_MASK_ADDR[7],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
102,mask_axi532_0.slave_axi_data[7],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_3_inferred_clock,mask_axi532_0.data_value[7],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
103,mask_axi532_0.slave_axi_data[7],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_4_inferred_clock,mask_axi532_0.S_MASK_ADDR[7],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
104,mask_axi532_0.slave_axi_data[8],mask_axi532_32s_32s|N_2_inferred_clock,axi_lite_tut|aclk,mask_axi532_0.S_MASK_ADDR[8],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
105,mask_axi532_0.slave_axi_data[8],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_3_inferred_clock,mask_axi532_0.data_value[8],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
106,mask_axi532_0.slave_axi_data[8],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_4_inferred_clock,mask_axi532_0.S_MASK_ADDR[8],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
107,mask_axi532_0.slave_axi_data[9],mask_axi532_32s_32s|N_2_inferred_clock,axi_lite_tut|aclk,mask_axi532_0.S_MASK_ADDR[9],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
108,mask_axi532_0.slave_axi_data[9],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_3_inferred_clock,mask_axi532_0.data_value[9],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
109,mask_axi532_0.slave_axi_data[9],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_4_inferred_clock,mask_axi532_0.S_MASK_ADDR[9],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
110,mask_axi532_0.slave_axi_data[10],mask_axi532_32s_32s|N_2_inferred_clock,axi_lite_tut|aclk,mask_axi532_0.S_MASK_ADDR[10],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
111,mask_axi532_0.slave_axi_data[10],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_3_inferred_clock,mask_axi532_0.data_value[10],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
112,mask_axi532_0.slave_axi_data[10],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_4_inferred_clock,mask_axi532_0.S_MASK_ADDR[10],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
113,mask_axi532_0.slave_axi_data[11],mask_axi532_32s_32s|N_2_inferred_clock,axi_lite_tut|aclk,mask_axi532_0.S_MASK_ADDR[11],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
114,mask_axi532_0.slave_axi_data[11],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_3_inferred_clock,mask_axi532_0.data_value[11],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
115,mask_axi532_0.slave_axi_data[11],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_4_inferred_clock,mask_axi532_0.S_MASK_ADDR[11],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
116,mask_axi532_0.slave_axi_data[12],mask_axi532_32s_32s|N_2_inferred_clock,axi_lite_tut|aclk,mask_axi532_0.S_MASK_ADDR[12],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
117,mask_axi532_0.slave_axi_data[12],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_3_inferred_clock,mask_axi532_0.data_value[12],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
118,mask_axi532_0.slave_axi_data[12],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_4_inferred_clock,mask_axi532_0.S_MASK_ADDR[12],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
119,mask_axi532_0.slave_axi_data[13],mask_axi532_32s_32s|N_2_inferred_clock,axi_lite_tut|aclk,mask_axi532_0.S_MASK_ADDR[13],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
120,mask_axi532_0.slave_axi_data[13],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_3_inferred_clock,mask_axi532_0.data_value[13],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
121,mask_axi532_0.slave_axi_data[13],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_4_inferred_clock,mask_axi532_0.S_MASK_ADDR[13],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
122,mask_axi532_0.slave_axi_data[14],mask_axi532_32s_32s|N_2_inferred_clock,axi_lite_tut|aclk,mask_axi532_0.S_MASK_ADDR[14],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
123,mask_axi532_0.slave_axi_data[14],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_3_inferred_clock,mask_axi532_0.data_value[14],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
124,mask_axi532_0.slave_axi_data[14],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_4_inferred_clock,mask_axi532_0.S_MASK_ADDR[14],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
125,mask_axi532_0.slave_axi_data[15],mask_axi532_32s_32s|N_2_inferred_clock,axi_lite_tut|aclk,mask_axi532_0.S_MASK_ADDR[15],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
126,mask_axi532_0.slave_axi_data[15],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_3_inferred_clock,mask_axi532_0.data_value[15],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
127,mask_axi532_0.slave_axi_data[15],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_4_inferred_clock,mask_axi532_0.S_MASK_ADDR[15],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
128,mask_axi532_0.slave_axi_data[16],mask_axi532_32s_32s|N_2_inferred_clock,axi_lite_tut|aclk,mask_axi532_0.S_MASK_ADDR[16],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
129,mask_axi532_0.slave_axi_data[16],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_3_inferred_clock,mask_axi532_0.data_value[16],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
130,mask_axi532_0.slave_axi_data[16],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_4_inferred_clock,mask_axi532_0.S_MASK_ADDR[16],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
131,mask_axi532_0.slave_axi_data[17],mask_axi532_32s_32s|N_2_inferred_clock,axi_lite_tut|aclk,mask_axi532_0.S_MASK_ADDR[17],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
132,mask_axi532_0.slave_axi_data[17],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_3_inferred_clock,mask_axi532_0.data_value[17],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
133,mask_axi532_0.slave_axi_data[17],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_4_inferred_clock,mask_axi532_0.S_MASK_ADDR[17],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
134,mask_axi532_0.slave_axi_data[18],mask_axi532_32s_32s|N_2_inferred_clock,axi_lite_tut|aclk,mask_axi532_0.S_MASK_ADDR[18],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
135,mask_axi532_0.slave_axi_data[18],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_3_inferred_clock,mask_axi532_0.data_value[18],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
136,mask_axi532_0.slave_axi_data[18],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_4_inferred_clock,mask_axi532_0.S_MASK_ADDR[18],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
137,mask_axi532_0.slave_axi_data[19],mask_axi532_32s_32s|N_2_inferred_clock,axi_lite_tut|aclk,mask_axi532_0.S_MASK_ADDR[19],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
138,mask_axi532_0.slave_axi_data[19],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_3_inferred_clock,mask_axi532_0.data_value[19],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
139,mask_axi532_0.slave_axi_data[19],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_4_inferred_clock,mask_axi532_0.S_MASK_ADDR[19],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
140,mask_axi532_0.slave_axi_data[20],mask_axi532_32s_32s|N_2_inferred_clock,axi_lite_tut|aclk,mask_axi532_0.S_MASK_ADDR[20],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
141,mask_axi532_0.slave_axi_data[20],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_3_inferred_clock,mask_axi532_0.data_value[20],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
142,mask_axi532_0.slave_axi_data[20],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_4_inferred_clock,mask_axi532_0.S_MASK_ADDR[20],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
143,mask_axi532_0.slave_axi_data[21],mask_axi532_32s_32s|N_2_inferred_clock,axi_lite_tut|aclk,mask_axi532_0.S_MASK_ADDR[21],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
144,mask_axi532_0.slave_axi_data[21],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_3_inferred_clock,mask_axi532_0.data_value[21],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
145,mask_axi532_0.slave_axi_data[21],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_4_inferred_clock,mask_axi532_0.S_MASK_ADDR[21],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
146,mask_axi532_0.slave_axi_data[22],mask_axi532_32s_32s|N_2_inferred_clock,axi_lite_tut|aclk,mask_axi532_0.S_MASK_ADDR[22],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
147,mask_axi532_0.slave_axi_data[22],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_3_inferred_clock,mask_axi532_0.data_value[22],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
148,mask_axi532_0.slave_axi_data[22],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_4_inferred_clock,mask_axi532_0.S_MASK_ADDR[22],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
149,mask_axi532_0.slave_axi_data[23],mask_axi532_32s_32s|N_2_inferred_clock,axi_lite_tut|aclk,mask_axi532_0.S_MASK_ADDR[23],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
150,mask_axi532_0.slave_axi_data[23],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_3_inferred_clock,mask_axi532_0.data_value[23],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
151,mask_axi532_0.slave_axi_data[23],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_4_inferred_clock,mask_axi532_0.S_MASK_ADDR[23],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
152,mask_axi532_0.slave_axi_data[24],mask_axi532_32s_32s|N_2_inferred_clock,axi_lite_tut|aclk,mask_axi532_0.S_MASK_ADDR[24],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
153,mask_axi532_0.slave_axi_data[24],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_3_inferred_clock,mask_axi532_0.data_value[24],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
154,mask_axi532_0.slave_axi_data[24],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_4_inferred_clock,mask_axi532_0.S_MASK_ADDR[24],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
155,mask_axi532_0.slave_axi_data[25],mask_axi532_32s_32s|N_2_inferred_clock,axi_lite_tut|aclk,mask_axi532_0.S_MASK_ADDR[25],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
156,mask_axi532_0.slave_axi_data[25],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_3_inferred_clock,mask_axi532_0.data_value[25],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
157,mask_axi532_0.slave_axi_data[25],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_4_inferred_clock,mask_axi532_0.S_MASK_ADDR[25],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
158,mask_axi532_0.slave_axi_data[26],mask_axi532_32s_32s|N_2_inferred_clock,axi_lite_tut|aclk,mask_axi532_0.S_MASK_ADDR[26],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
159,mask_axi532_0.slave_axi_data[26],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_3_inferred_clock,mask_axi532_0.data_value[26],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
160,mask_axi532_0.slave_axi_data[26],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_4_inferred_clock,mask_axi532_0.S_MASK_ADDR[26],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
161,mask_axi532_0.slave_axi_data[27],mask_axi532_32s_32s|N_2_inferred_clock,axi_lite_tut|aclk,mask_axi532_0.S_MASK_ADDR[27],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
162,mask_axi532_0.slave_axi_data[27],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_3_inferred_clock,mask_axi532_0.data_value[27],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
163,mask_axi532_0.slave_axi_data[27],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_4_inferred_clock,mask_axi532_0.S_MASK_ADDR[27],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
164,mask_axi532_0.slave_axi_data[28],mask_axi532_32s_32s|N_2_inferred_clock,axi_lite_tut|aclk,mask_axi532_0.S_MASK_ADDR[28],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
165,mask_axi532_0.slave_axi_data[28],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_3_inferred_clock,mask_axi532_0.data_value[28],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
166,mask_axi532_0.slave_axi_data[28],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_4_inferred_clock,mask_axi532_0.S_MASK_ADDR[28],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
167,mask_axi532_0.slave_axi_data[29],mask_axi532_32s_32s|N_2_inferred_clock,axi_lite_tut|aclk,mask_axi532_0.S_MASK_ADDR[29],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
168,mask_axi532_0.slave_axi_data[29],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_3_inferred_clock,mask_axi532_0.data_value[29],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
169,mask_axi532_0.slave_axi_data[29],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_4_inferred_clock,mask_axi532_0.S_MASK_ADDR[29],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
170,mask_axi532_0.slave_axi_data[30],mask_axi532_32s_32s|N_2_inferred_clock,axi_lite_tut|aclk,mask_axi532_0.S_MASK_ADDR[30],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
171,mask_axi532_0.slave_axi_data[30],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_3_inferred_clock,mask_axi532_0.data_value[30],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
172,mask_axi532_0.slave_axi_data[30],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_4_inferred_clock,mask_axi532_0.S_MASK_ADDR[30],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
173,mask_axi532_0.slave_axi_data[31],mask_axi532_32s_32s|N_2_inferred_clock,axi_lite_tut|aclk,mask_axi532_0.S_MASK_ADDR[31],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
174,mask_axi532_0.slave_axi_data[31],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_3_inferred_clock,mask_axi532_0.data_value[31],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
175,mask_axi532_0.slave_axi_data[31],mask_axi532_32s_32s|N_2_inferred_clock,mask_axi532_32s_32s|N_4_inferred_clock,mask_axi532_0.S_MASK_ADDR[31],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
176,mask_axi532_0.data_value[0],mask_axi532_32s_32s|N_3_inferred_clock,axi_lite_tut|aclk,COREAXI4INTERCONNECT_C0_0.COREAXI4INTERCONNECT_C0_0.SlvConvertor_loop\[0\]\.slvcnv.slvProtConv.genblk1\.u_AXILtePC.SlvPCWr.wrDataFif.genblk1\.DPRam.mem[31:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
177,mask_axi532_0.data_value[1],mask_axi532_32s_32s|N_3_inferred_clock,axi_lite_tut|aclk,COREAXI4INTERCONNECT_C0_0.COREAXI4INTERCONNECT_C0_0.SlvConvertor_loop\[0\]\.slvcnv.slvProtConv.genblk1\.u_AXILtePC.SlvPCWr.wrDataFif.genblk1\.DPRam.mem[31:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
